title,artist,sentiment
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sadness
Without Me,Halsey,happiness
Bad Guy,Billie Eilish,sadness
Wow.,Post Malone,Anger
Happier,Marshmello & Bastille,Surprise
7 Rings,Ariana Grande,Joy
Talk,Khalid,Sadness
Sicko Mode,Travis Scott,Anger
Sucker,Jonas Brothers,Anger
High Hopes,Panic! At The Disco,Anticipation
"Thank U, Next",Ariana Grande,Joy
Truth Hurts,Lizzo,Anger
Dancing With A Stranger,Sam Smith & Normani,Joy
Senorita,Shawn Mendes & Camila Cabello,Joy
I Don't Care,Ed Sheeran & Justin Bieber,Joy
Going Bad,Meek Mill Featuring Drake,Trust
Shallow,Lady Gaga & Bradley Cooper,Fear
Better,Khalid,Joy
No Guidance,Chris Brown Featuring Drake,Joy
